"Date","Price","Open","High","Low","Vol.","Change %"
"09/18/2019","61.05","61.05","61.05","61.05","","-0.81%"
"09/17/2019","61.55","61.55","61.55","61.55","","-0.32%"
"09/16/2019","61.75","61.75","61.75","61.75","0.00K","1.31%"
"09/13/2019","60.95","61.25","61.25","61.25","0.00K","0.33%"
"09/12/2019","60.75","60.75","60.75","60.75","","0.50%"
"09/11/2019","60.45","60.30","60.30","60.30","0.01K","-0.33%"
"09/10/2019","60.65","60.00","60.00","60.00","0.01K","3.85%"
"09/09/2019","58.40","58.20","58.20","58.20","0.02K","1.30%"
"09/06/2019","57.65","57.50","57.50","57.50","0.01K","0.44%"
"09/05/2019","57.40","57.20","57.20","57.20","0.02K","1.15%"
"09/04/2019","56.75","57.10","57.35","56.80","0.04K","-0.35%"
"09/03/2019","56.95","55.40","57.00","55.40","0.09K","2.98%"
"09/02/2019","55.30","53.95","55.40","53.75","0.04K","0.55%"
"08/30/2019","55.00","55.00","55.00","55.00","","0.55%"
"08/29/2019","54.70","54.70","54.70","54.70","","-0.18%"
"08/28/2019","54.80","54.80","54.80","54.80","","-0.27%"
"08/27/2019","54.95","54.95","54.95","54.95","","0.09%"
"08/26/2019","54.90","54.90","54.90","54.90","","0.00%"
"08/23/2019","54.90","54.90","54.90","54.90","","-0.36%"
"08/22/2019","55.10","55.10","55.10","55.10","","-0.45%"
"08/21/2019","55.35","55.35","55.35","55.35","","-0.54%"
"08/20/2019","55.65","55.65","55.65","55.65","","-0.27%"
"08/19/2019","55.80","55.80","55.80","55.80","","-0.18%"
"08/16/2019","55.90","55.90","55.90","55.90","","-0.18%"
"08/15/2019","56.00","56.00","56.00","56.00","0.10K","-0.18%"
"08/14/2019","56.10","56.10","56.10","56.10","0.04K","-0.53%"
"08/13/2019","56.40","56.40","56.40","56.40","","0.18%"
"08/12/2019","56.30","56.30","56.30","56.30","","0.09%"
"08/09/2019","56.25","56.25","56.25","56.25","0.01K","-0.44%"
"08/08/2019","56.50","56.50","56.50","56.50","0.12K","0.62%"
"08/07/2019","56.15","56.00","56.00","56.00","0.06K","0.09%"
"08/06/2019","56.10","56.70","56.75","55.75","0.11K","-1.67%"
"08/05/2019","57.05","57.50","57.50","57.00","0.03K","-1.89%"
"08/02/2019","58.15","58.15","58.50","58.00","0.05K","-0.68%"
"08/01/2019","58.55","58.00","58.30","58.00","0.06K","1.12%"
"07/31/2019","57.90","58.25","58.70","57.80","0.05K","0.00%"
"07/30/2019","57.90","57.80","58.00","57.60","0.04K","-0.17%"
"07/29/2019","58.00","59.50","59.50","58.00","0.08K","-0.17%"
"07/26/2019","58.10","58.10","58.10","58.10","","0.00%"
"07/25/2019","58.10","58.10","58.10","58.10","","0.00%"
"07/24/2019","58.10","58.10","58.10","58.10","0.01K","0.00%"
"07/23/2019","58.10","58.10","58.10","58.10","0.05K","0.00%"
"07/22/2019","58.10","58.15","58.15","58.15","0.02K","0.17%"
"07/19/2019","58.00","58.00","58.00","58.00","0.07K","0.61%"
"07/18/2019","57.65","57.65","57.65","57.65","0.05K","-0.26%"
"07/17/2019","57.80","57.80","57.80","57.80","","0.87%"
"07/16/2019","57.30","57.30","57.30","57.30","0.01K","-0.78%"
"07/15/2019","57.75","57.75","57.75","57.75","0.04K","-0.17%"
"07/12/2019","57.85","58.10","58.10","57.60","0.10K","-1.11%"
"07/11/2019","58.50","58.50","58.50","58.50","0.01K","0.69%"
"07/10/2019","58.10","56.25","58.50","56.25","0.05K","3.01%"
"07/09/2019","56.40","56.30","56.60","56.30","0.15K","-1.14%"
"07/08/2019","57.05","57.00","57.55","56.60","0.10K","1.33%"
"07/05/2019","56.30","55.00","56.20","55.00","0.12K","1.81%"
"07/04/2019","55.30","52.90","54.00","52.90","0.04K","4.73%"
"07/03/2019","52.80","52.00","52.75","52.00","0.20K","2.62%"
"07/02/2019","51.45","51.60","51.85","51.25","0.41K","1.78%"
"07/01/2019","50.55","50.75","50.90","50.40","0.19K","3.48%"
"06/28/2019","48.85","48.85","48.85","48.85","","-0.10%"
"06/27/2019","48.90","48.90","48.90","48.90","","0.00%"
"06/26/2019","48.90","48.90","48.90","48.90","","-0.10%"
"06/25/2019","48.95","48.95","48.95","48.95","","0.00%"
"06/24/2019","48.95","48.95","48.95","48.95","","-0.10%"
"06/21/2019","49.00","49.00","49.00","49.00","","0.10%"
"06/20/2019","48.95","48.95","48.95","48.95","","0.51%"
"06/19/2019","48.70","48.70","48.70","48.70","","0.10%"
"06/18/2019","48.65","48.65","48.65","48.65","0.00K","-1.42%"
"06/17/2019","49.35","50.00","50.00","49.00","0.00K","-1.30%"
"06/14/2019","50.00","50.00","50.00","50.00","","-0.50%"
"06/13/2019","50.25","50.25","50.25","50.25","0.01K","-0.50%"
"06/12/2019","50.50","50.50","50.50","50.50","0.01K","-1.08%"
"06/11/2019","51.05","51.75","51.75","51.00","0.01K","-3.68%"
"06/10/2019","53.00","53.00","53.00","53.00","0.01K","1.24%"
"06/07/2019","52.35","52.00","52.40","52.00","0.03K","0.96%"
"06/06/2019","51.85","51.00","51.10","51.00","0.04K","0.48%"
"06/05/2019","51.60","52.00","52.00","51.60","0.13K","-1.34%"
"06/04/2019","52.30","51.95","51.95","51.45","0.14K","1.45%"
"06/03/2019","51.55","51.75","51.90","51.40","0.18K","-9.24%"
"05/31/2019","56.80","56.80","56.80","56.80","","0.00%"
"05/30/2019","56.80","56.80","56.80","56.80","","-0.18%"
"05/29/2019","56.90","56.90","56.90","56.90","","-0.26%"
"05/28/2019","57.05","57.05","57.05","57.05","","-0.78%"
"05/27/2019","57.50","57.50","57.50","57.50","","0.00%"
"05/24/2019","57.50","57.75","57.75","57.75","0.00K","-0.52%"
"05/23/2019","57.80","57.75","57.75","57.75","0.12K","-0.34%"
"05/22/2019","58.00","58.00","58.00","57.90","0.01K","-0.34%"
"05/21/2019","58.20","58.20","58.20","58.20","","-0.17%"
"05/20/2019","58.30","58.30","58.30","58.30","","-0.17%"
"05/17/2019","58.40","58.35","58.35","58.35","0.01K","-0.17%"
"05/16/2019","58.50","58.50","58.50","58.50","","-0.76%"
"05/15/2019","58.95","58.60","58.60","58.60","0.01K","-0.51%"
"05/14/2019","59.25","59.25","59.25","59.25","0.02K","0.94%"
"05/13/2019","58.70","58.75","58.75","58.50","0.03K","-0.76%"
"05/10/2019","59.15","59.00","59.00","59.00","0.00K","-0.34%"
"05/09/2019","59.35","59.65","59.65","59.30","0.01K","-1.82%"
"05/08/2019","60.45","60.25","60.40","60.00","0.06K","1.43%"
"05/07/2019","59.60","60.00","60.00","60.00","0.06K","-1.49%"
"05/06/2019","60.50","60.50","60.50","60.50","","-0.66%"
"05/03/2019","60.90","60.90","60.90","60.90","0.01K","2.96%"
"05/02/2019","59.15","59.00","59.00","59.00","0.01K","1.37%"
"05/01/2019","58.35","58.75","59.00","57.90","0.03K","-1.19%"
"04/30/2019","59.05","58.50","59.20","58.25","0.16K","0.34%"
"04/29/2019","58.85","59.50","59.55","58.90","0.07K","-0.25%"
"04/26/2019","59.00","59.00","59.00","59.00","","-0.59%"
"04/25/2019","59.35","59.35","59.35","59.35","","0.00%"
"04/24/2019","59.35","59.35","59.35","59.35","","-0.50%"
"04/23/2019","59.65","59.65","59.65","59.65","","0.42%"
"04/22/2019","59.40","59.40","59.40","59.40","","0.00%"
"04/18/2019","59.40","59.40","59.40","59.40","","-0.34%"
"04/17/2019","59.60","59.60","59.60","59.60","","0.00%"
"04/16/2019","59.60","59.60","59.60","59.60","0.00K","0.34%"
"04/15/2019","59.40","59.40","59.40","59.40","0.05K","-1.25%"
"04/12/2019","60.15","60.15","60.15","60.15","0.09K","0.59%"
"04/11/2019","59.80","59.80","59.80","59.80","0.02K","0.00%"
"04/10/2019","59.80","60.00","60.00","59.00","0.02K","1.27%"
"04/09/2019","59.05","59.05","59.05","59.05","0.01K","0.60%"
"04/08/2019","58.70","58.70","58.70","58.70","0.02K","4.36%"
"04/05/2019","56.25","56.25","56.25","56.25","0.02K","0.36%"
"04/04/2019","56.05","55.00","55.25","55.00","0.10K","2.28%"
"04/03/2019","54.80","56.00","56.00","54.00","0.25K","-2.84%"
"04/02/2019","56.40","56.00","56.75","56.00","0.11K","-4.00%"
"04/01/2019","58.75","61.00","61.00","58.50","0.03K","-16.55%"
"03/29/2019","70.40","70.40","70.40","70.40","","-0.07%"
"03/28/2019","70.45","70.45","70.45","70.45","","-0.21%"
"03/27/2019","70.60","70.60","70.60","70.60","","-0.14%"
"03/26/2019","70.70","70.70","70.70","70.70","","0.00%"
"03/25/2019","70.70","70.70","70.70","70.70","","-0.21%"
"03/22/2019","70.85","70.85","70.85","70.85","","-0.14%"
"03/21/2019","70.95","70.95","70.95","70.95","","-0.35%"
"03/20/2019","71.20","71.10","71.10","70.95","0.02K","-0.07%"
"03/19/2019","71.25","71.25","71.25","71.25","","-0.28%"
"03/18/2019","71.45","71.15","71.50","71.15","0.04K","0.07%"
"03/15/2019","71.40","71.40","71.40","71.40","","-0.76%"
"03/14/2019","71.95","71.95","71.95","71.95","0.02K","0.21%"
"03/13/2019","71.80","71.50","71.50","71.50","0.03K","-1.17%"
"03/12/2019","72.65","72.65","72.65","72.65","0.07K","0.48%"
"03/11/2019","72.30","72.75","72.75","72.55","0.11K","-0.07%"
"03/08/2019","72.35","72.80","72.80","72.35","0.06K","-1.09%"
"03/07/2019","73.15","73.00","73.15","73.00","0.02K","-0.41%"
"03/06/2019","73.45","74.50","74.50","73.50","0.04K","-1.41%"
"03/05/2019","74.50","74.50","74.50","74.50","0.01K","-0.80%"
"03/04/2019","75.10","75.10","75.10","75.10","0.04K","0.67%"
"03/01/2019","74.60","74.90","74.90","74.75","0.04K","-0.60%"
"02/28/2019","75.05","75.05","75.05","75.05","0.07K","0.00%"
"02/27/2019","75.05","74.50","75.10","74.40","0.07K","1.35%"
"02/26/2019","74.05","75.00","75.00","74.00","0.06K","1.09%"
"02/25/2019","73.25","72.75","73.25","72.75","0.08K","-1.15%"
"02/22/2019","74.10","74.10","74.10","74.10","","-0.20%"
"02/21/2019","74.25","74.25","74.25","74.25","","-0.13%"
"02/20/2019","74.35","74.35","74.35","74.35","","0.41%"
"02/19/2019","74.05","74.00","74.00","74.00","0.00K","-0.07%"
"02/18/2019","74.10","74.10","74.10","74.10","0.01K","0.00%"
"02/15/2019","74.10","74.00","74.00","73.90","","0.47%"
"02/14/2019","73.75","73.90","74.00","73.80","0.03K","-0.47%"
"02/13/2019","74.10","73.60","73.90","73.60","0.06K","1.30%"
"02/12/2019","73.15","73.30","73.30","73.10","0.05K","-0.61%"
"02/11/2019","73.60","73.70","73.70","73.55","0.09K","-0.67%"
"02/08/2019","74.10","74.10","74.10","74.10","0.02K","-1.46%"
"02/07/2019","75.20","75.45","75.45","75.45","0.08K","-1.12%"
"02/06/2019","76.05","75.60","75.60","75.60","0.02K","0.46%"
"02/05/2019","75.70","75.85","76.60","75.50","0.18K","-0.79%"
"02/04/2019","76.30","76.00","76.10","75.60","0.14K","-1.86%"
"02/01/2019","77.75","78.75","78.75","77.75","0.17K","-1.64%"
"01/31/2019","79.05","78.90","79.35","78.50","0.60K","-1.00%"
"01/30/2019","79.85","80.00","80.00","79.75","0.12K","0.13%"
"01/29/2019","79.75","78.60","79.20","78.30","0.08K","0.95%"
"01/28/2019","79.00","79.85","79.85","78.80","0.10K","-3.07%"
"01/25/2019","81.50","81.50","81.50","81.50","","-0.43%"
"01/24/2019","81.85","81.85","81.85","81.85","","-0.12%"
"01/23/2019","81.95","81.95","81.95","81.95","0.00K","-0.06%"
"01/22/2019","82.00","82.00","82.00","82.00","0.01K","-0.36%"
"01/21/2019","82.30","82.30","82.30","82.30","0.00K","-1.08%"
"01/18/2019","83.20","83.35","83.35","83.35","0.02K","-0.24%"
"01/17/2019","83.40","83.40","83.40","83.40","0.03K","0.54%"
"01/16/2019","82.95","82.50","83.05","82.50","0.08K","0.55%"
"01/15/2019","82.50","82.25","82.40","82.25","0.13K","0.61%"
"01/14/2019","82.00","82.00","82.05","82.00","0.09K","-0.67%"
"01/11/2019","82.55","82.50","82.50","82.50","0.09K","0.49%"
"01/10/2019","82.15","82.00","82.00","82.00","0.13K","0.12%"
"01/09/2019","82.05","82.10","82.10","82.10","0.26K","0.00%"
"01/08/2019","82.05","82.05","82.05","82.05","0.20K","0.67%"
"01/07/2019","81.50","83.00","83.00","81.90","0.18K","-2.34%"
"01/04/2019","83.45","83.35","83.50","83.35","0.37K","-0.36%"
"01/03/2019","83.75","84.00","84.00","83.50","0.34K","-1.99%"
"01/02/2019","85.45","85.45","85.45","85.45","0.28K","-1.44%"
"12/31/2018","86.70","86.70","86.70","86.70","0.05K","-1.48%"
"12/28/2018","88.00","88.00","88.00","88.00","","0.86%"
"12/27/2018","87.25","87.25","87.25","87.25","","-0.29%"
"12/26/2018","87.50","87.50","87.50","87.50","","-0.57%"
"12/24/2018","88.00","88.00","88.00","88.00","","0.00%"
"12/21/2018","88.00","88.00","88.00","88.00","0.01K","-0.62%"
"12/20/2018","88.55","88.55","88.55","88.55","0.02K","0.34%"
"12/19/2018","88.25","88.25","88.25","88.25","","-0.17%"
"12/18/2018","88.40","88.40","88.40","88.40","0.03K","-0.23%"
"12/17/2018","88.60","88.60","88.60","88.60","0.02K","0.11%"
"12/14/2018","88.50","88.00","88.40","88.00","0.02K","0.68%"
"12/13/2018","87.90","87.75","87.85","87.70","0.04K","0.23%"
"12/12/2018","87.70","87.50","87.75","87.50","0.05K","0.86%"
"12/11/2018","86.95","87.10","87.10","86.70","0.03K","0.46%"
"12/10/2018","86.55","86.25","86.45","86.25","0.02K","0.00%"
"12/07/2018","86.55","86.00","86.00","86.00","0.06K","0.17%"
"12/06/2018","86.40","86.00","86.25","86.00","0.11K","0.41%"
"12/05/2018","86.05","85.25","85.50","85.25","0.08K","0.29%"
"12/04/2018","85.80","85.00","85.75","85.00","0.02K","-0.23%"
"12/03/2018","86.00","86.50","86.85","86.20","0.07K","-2.71%"
"11/30/2018","88.40","88.40","88.40","88.40","","-0.23%"
"11/29/2018","88.60","88.60","88.60","88.60","","0.00%"
"11/28/2018","88.60","88.60","88.60","88.60","","0.00%"
"11/27/2018","88.60","88.60","88.60","88.60","","0.06%"
"11/26/2018","88.55","88.55","88.55","88.55","","0.34%"
"11/23/2018","88.25","88.25","88.25","88.25","","-0.40%"
"11/22/2018","88.60","88.60","88.60","88.60","","0.91%"
"11/21/2018","87.80","87.80","87.80","87.80","0.00K","-0.28%"
"11/20/2018","88.05","88.05","88.05","88.05","0.02K","-0.79%"
"11/19/2018","88.75","88.55","88.75","88.55","0.01K","-0.39%"
"11/16/2018","89.10","89.75","89.75","89.75","0.02K","-0.94%"
"11/15/2018","89.95","89.75","89.75","89.25","0.03K","-0.61%"
"11/14/2018","90.50","90.00","90.00","90.00","0.03K","-1.04%"
"11/13/2018","91.45","91.45","91.45","91.45","","-1.45%"
"11/12/2018","92.80","92.80","92.80","92.80","","1.20%"
"11/09/2018","91.70","91.70","91.70","91.70","","-0.65%"
"11/08/2018","92.30","94.00","94.00","93.00","0.02K","-1.81%"
"11/07/2018","94.00","93.50","93.50","93.50","0.04K","0.80%"
"11/06/2018","93.25","93.50","93.50","93.15","0.04K","-1.53%"
"11/05/2018","94.70","95.50","95.50","95.00","0.08K","-1.46%"
"11/02/2018","96.10","96.25","96.25","96.00","0.03K","0.79%"
"11/01/2018","95.35","96.20","96.20","95.00","0.25K","-2.26%"
"10/31/2018","97.55","97.55","97.55","97.55","0.00K","-1.17%"
"10/30/2018","98.70","99.65","99.70","98.25","0.28K","-0.50%"
"10/29/2018","99.20","99.50","99.50","99.50","0.09K","-1.00%"
"10/26/2018","100.20","100.20","100.20","100.20","0.02K","-0.20%"
"10/25/2018","100.40","100.40","100.40","100.40","","0.05%"
"10/24/2018","100.35","100.35","100.35","100.35","","-0.05%"
"10/23/2018","100.40","100.40","100.40","100.40","","0.05%"
"10/22/2018","100.35","100.35","100.35","100.35","","-0.15%"
"10/19/2018","100.50","100.50","100.50","100.50","0.02K","0.80%"
"10/18/2018","99.70","99.70","99.70","99.70","","0.40%"
"10/17/2018","99.30","99.30","99.30","99.30","0.03K","0.25%"
"10/16/2018","99.05","99.00","99.00","99.00","0.02K","-0.05%"
"10/15/2018","99.10","99.10","99.10","99.10","0.03K","0.00%"
"10/12/2018","99.10","99.10","99.10","99.10","0.03K","0.00%"
"10/11/2018","99.10","99.00","99.00","99.00","0.05K","-0.80%"
"10/10/2018","99.90","99.90","99.90","99.90","0.07K","-0.89%"
"10/09/2018","100.80","100.80","100.80","100.80","0.04K","-0.49%"
"10/08/2018","101.30","101.30","101.30","101.30","0.08K","-0.05%"
"10/05/2018","101.35","101.35","101.35","101.35","","0.55%"
"10/04/2018","100.80","100.80","100.80","100.80","0.04K","-0.84%"
"10/03/2018","101.65","101.65","101.65","101.65","0.17K","0.44%"
"10/02/2018","101.20","102.25","103.00","102.25","0.08K","-0.59%"
"10/01/2018","101.80","101.00","101.40","101.00","0.05K","1.65%"
"09/28/2018","100.15","100.35","100.35","100.35","0.01K","-0.20%"
"09/27/2018","100.35","100.20","100.30","100.20","0.01K","0.05%"
"09/26/2018","100.30","100.30","100.30","100.30","","0.00%"
"09/25/2018","100.30","100.30","100.30","100.30","0.02K","-0.05%"
"09/24/2018","100.35","100.35","100.35","100.35","0.01K","0.05%"
"09/21/2018","100.30","100.30","100.30","100.30","","0.65%"
"09/20/2018","99.65","99.65","99.65","99.65","","-0.65%"
"09/19/2018","100.30","99.40","100.00","99.40","0.01K","1.67%"
"09/18/2018","98.65","98.20","98.90","98.20","0.09K","-0.70%"
"09/17/2018","99.35","99.30","99.30","99.30","0.08K","-0.15%"
"09/14/2018","99.50","99.50","99.50","99.50","","-0.90%"
"09/13/2018","100.40","100.40","100.40","100.40","0.01K","-0.10%"
"09/12/2018","100.50","100.50","100.50","100.50","0.02K","-0.45%"
"09/11/2018","100.95","100.95","100.95","100.95","0.01K","0.70%"
"09/10/2018","100.25","99.60","100.40","99.60","0.08K","0.50%"
"09/07/2018","99.75","101.00","101.00","100.90","0.08K","-1.24%"
"09/06/2018","101.00","101.00","101.00","101.00","0.03K","-0.44%"
"09/05/2018","101.45","100.40","101.00","100.40","0.09K","0.69%"
"09/04/2018","100.75","100.50","100.75","100.40","0.10K","1.46%"
"09/03/2018","99.30","98.60","99.40","98.60","0.04K","1.43%"
"08/31/2018","97.90","97.90","97.90","97.90","","0.00%"
"08/30/2018","97.90","97.90","97.90","97.90","","0.00%"
"08/29/2018","97.90","97.90","97.90","97.90","","0.31%"
"08/28/2018","97.60","97.60","97.60","97.60","","-0.41%"
"08/27/2018","98.00","98.00","98.00","98.00","","1.03%"
"08/24/2018","97.00","97.00","97.00","97.00","0.01K","0.05%"
"08/23/2018","96.95","97.10","97.10","96.85","0.16K","0.05%"
"08/22/2018","96.90","96.80","96.80","96.80","0.01K","-0.62%"
"08/21/2018","97.50","98.00","98.00","97.50","0.01K","-0.71%"
"08/20/2018","98.20","98.50","98.50","98.00","0.02K","0.00%"
"08/17/2018","98.20","98.20","98.20","98.20","0.01K","0.36%"
"08/16/2018","97.85","97.85","97.85","97.85","0.01K","0.26%"
"08/15/2018","97.60","97.60","97.60","97.60","0.01K","-0.61%"
"08/14/2018","98.20","98.20","98.20","98.20","0.01K","0.61%"
"08/13/2018","97.60","97.30","97.75","97.30","0.08K","0.77%"
"08/10/2018","96.85","96.50","97.00","96.50","0.06K","0.41%"
"08/09/2018","96.45","96.45","96.60","96.45","0.09K","0.05%"
"08/08/2018","96.40","97.50","97.50","96.75","0.15K","-0.36%"
"08/07/2018","96.75","96.50","96.75","96.50","0.11K","0.73%"
"08/06/2018","96.05","95.00","96.00","95.00","0.05K","1.69%"
"08/03/2018","94.45","94.50","94.65","94.00","0.17K","-0.32%"
"08/02/2018","94.75","94.50","94.65","94.50","0.15K","-0.42%"
"08/01/2018","95.15","95.00","95.20","94.95","0.18K","0.05%"
"07/31/2018","95.10","94.70","95.10","94.65","0.13K","0.32%"
"07/30/2018","94.80","94.90","94.90","94.75","0.06K","-6.14%"
"07/27/2018","101.00","101.00","101.00","101.00","","0.00%"
"07/26/2018","101.00","101.00","101.00","101.00","","0.05%"
"07/25/2018","100.95","100.95","100.95","100.95","","0.05%"
"07/24/2018","100.90","100.90","100.90","100.90","","0.15%"
